Time(ms),Main(mA),Main Voltage(V),
0.025680065155029297,604.0535044845868,5.10325,
0.026681184768676758,600.6225922612226,5.10425,
0.026681184768676758,602.042280077787,5.1065000000000005,
0.026681184768676758,601.805665441693,5.10875,
0.026681184768676758,600.9775142153637,5.10875,
0.026681184768676758,609.8505630688918,5.10875,
0.027680397033691406,604.8816557109161,5.10675,
0.027680397033691406,601.9239727597401,5.1015,
0.027680397033691406,602.7521239860694,5.1015,
0.027680397033691406,600.6225922612226,5.1075,
0.027680397033691406,596.7184507656702,5.1105,
0.028680086135864258,594.9438409949646,5.1105,
0.028680086135864258,594.5889190408235,5.1095,
0.028680086135864258,593.6424604964471,5.1080000000000005,
0.028680086135864258,595.1804556310586,5.1057500000000005,
0.028680086135864258,594.2339970866823,5.102,
0.02968001365661621,596.126914175435,5.10425,
0.02968001365661621,595.890299539341,5.10925,
0.02968001365661621,593.7607678144941,5.1105,
0.02968001365661621,591.8678507257415,5.10875,
0.02968001365661621,589.2650897287066,5.1057500000000005,
0.030680179595947266,589.5017043648006,5.10925,
0.030680179595947266,589.9749336369888,5.106,
0.030680179595947266,592.1044653618355,5.10025,
0.030680179595947266,618.72361192242,5.104,
0.030680179595947266,611.5068655215505,5.1075,
0.03167986869812012,587.845401912142,5.107,
0.03167986869812012,558.1502650823345,5.11075,
0.03167986869812012,544.6632308249717,5.1105,
0.03167986869812012,540.1675527391842,5.113,
0.03167986869812012,536.973255151914,5.1095,
0.03268003463745117,536.0267966075377,5.11125,
0.03268003463745117,541.8238551918428,5.1080000000000005,
0.03268003463745117,543.2435430084072,5.10925,
0.03268003463745117,543.3618503264543,5.1125,
0.03268003463745117,547.1476845039596,5.112,
0.03268003463745117,567.0233139358627,5.1080000000000005,
0.033757686614990234,565.248704165157,5.1055,
0.033757686614990234,558.0319577642875,5.1075,
0.033757686614990234,543.4801576445013,5.10825,
0.034758567810058594,538.0380210143373,5.11025,
0.034758567810058594,538.5112502865255,5.1095,
0.034758567810058594,536.7366405158199,5.11175,
0.034758567810058594,537.0915624699611,5.11175,
0.034758567810058594,535.7901819714436,5.11,
0.034758567810058594,532.8324990202675,5.10675,
0.035758256912231445,533.8972648826909,5.1072500000000005,
0.035758256912231445,534.252186836832,5.107,
0.035758256912231445,533.8972648826909,5.1095,
0.035758256912231445,537.2098697880081,5.1085,
0.035758256912231445,537.9197136962904,5.10775,
0.0367579460144043,538.0380210143373,5.10775,
0.0367579460144043,537.5647917421493,5.11175,
0.0367579460144043,535.4352600173024,5.11275,
0.0367579460144043,535.4352600173024,5.111,
0.0367579460144043,536.5000258797259,5.11025,
0.03775763511657715,550.5785967273239,5.10775,
0.03775763511657715,548.8039869566182,5.1125,
0.03775763511657715,540.5224746933253,5.11,
0.03775763511657715,545.373074733254,5.1075,
0.03775763511657715,544.5449235069246,5.10775,
0.03875732421875,539.1027868767608,5.10675,
0.03875732421875,535.4352600173024,5.1072500000000005,
0.03875732421875,538.0380210143373,5.10525,
0.03875732421875,545.491382051301,5.1055,
0.03875732421875,549.3955235468534,5.1045,
0.03875732421875,550.933518681465,5.107,
0.03875732421875,551.6433625897472,5.10775,
0.03875732421875,550.5785967273239,5.10675,
0.04026055335998535,545.0181527791128,5.10625,
0.04026055335998535,548.3307576844301,5.10475,
0.04026055335998535,549.5138308649005,5.10475,
0.04026055335998535,551.170133317559,5.10275,
0.04026055335998535,551.9982845438883,5.10975,
0.04126548767089844,551.5250552717001,5.1065000000000005,
0.04126548767089844,553.0630504063117,5.10775,
0.04126548767089844,565.9585480734393,5.1095,
0.04126548767089844,562.6459431681221,5.1105,
0.04126548767089844,551.5250552717001,5.11075,
0.04126548767089844,546.4378405956774,5.10925,
0.04126548767089844,543.7167722805954,5.1115,
0.04276871681213379,545.254767415207,5.10875,
0.04276871681213379,548.0941430483359,5.10975,
0.04276871681213379,549.1589089107594,5.11025,
0.04276871681213379,548.6856796385712,5.10925,
0.04276871681213379,548.212450366383,5.10975,
0.04377269744873047,548.212450366383,5.10525,
0.04377269744873047,548.8039869566182,5.1045,
0.04377269744873047,547.2659918220066,5.1065000000000005,
0.04377269744873047,542.1787771459839,5.10825,
0.04377269744873047,540.8773966474664,5.10675,
0.04477286338806152,543.0069283723132,5.1072500000000005,
0.04477286338806152,543.2435430084072,5.106,
0.04477286338806152,543.7167722805954,5.105,
0.04477286338806152,546.4378405956774,5.106,
0.04477286338806152,549.0406015927123,5.10525,
0.045772552490234375,563.5924017124985,5.10375,
0.045772552490234375,563.4740943944514,5.105,
0.045772552490234375,555.1925821311585,5.1045,
0.045772552490234375,547.3842991400537,5.10675,
0.045772552490234375,545.8463040054421,5.11025,
0.04677295684814453,547.7392210941948,5.10975,
0.04677295684814453,548.3307576844301,5.109,
0.04677295684814453,548.212450366383,5.10475,
0.04677295684814453,548.8039869566182,5.106,
0.04677295684814453,548.8039869566182,5.1075,
0.047773122787475586,548.8039869566182,5.107,
0.047773122787475586,548.5673723205241,5.112,
0.047773122787475586,547.8575284122419,5.114,
0.047773122787475586,548.0941430483359,5.10775,
0.047773122787475586,547.2659918220066,5.107,
0.04877281188964844,545.373074733254,5.1085,
0.04877281188964844,548.3307576844301,5.10625,
0.04877281188964844,547.8575284122419,5.1075,
0.04877281188964844,545.7279966873951,5.1072500000000005,
