__run_id,__done,sampling,code,Time,TOTAL_DRAM_ENERGY (J),TOTAL_PACKAGE_ENERGY (J),TOTAL_PP0_ENERGY (J),TOTAL_PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,AVG_USED_MEMORY,AVG_USED_SWAP,TOTAL_ENERGY (J)
run_3_repetition_4,DONE,200,63,15.21,0,7601912.545,13348663.392,0,67221331968.0,8589930496.0,2185864060.718,0.0,728.263
run_4_repetition_4,DONE,200,90,9.006,0,4623918.985,8067694.137,0,67221331968.0,8589930496.0,2189849011.745,0.0,426.581
run_5_repetition_4,DONE,200,53,93.053,0,47258656.638,81169965.173,0,67221331968.0,8589930496.0,2191385330.296,0.0,4525.71
run_6_repetition_4,DONE,200,66,0.403,0,415220.789,703158.422,0,67221331968.0,8589930496.0,2190209024.0,0.0,8.896
run_7_repetition_4,DONE,200,52,28.816,0,15306446.417,25754688.602,0,67221331968.0,8589930496.0,2205484999.89,0.0,1388.475
run_8_repetition_4,DONE,200,16,0.202,0,317634.579,531058.541,0,67221331968.0,8589930496.0,2193563648.0,0.0,0.011
run_0_repetition_5,DONE,200,4,17.611,0,9592957.329,15961281.002,0,67221331968.0,8589930496.0,2186998988.8,0.0,750.745
run_1_repetition_5,DONE,200,61,13.209,0,7318262.945,12101045.256,0,67221331968.0,8589930496.0,2187558610.824,0.0,632.663
run_2_repetition_5,DONE,200,79,84.041,0,46552222.358,75962922.102,0,67221331968.0,8589930496.0,2186407819.526,0.0,4085.082
run_3_repetition_5,DONE,200,63,15.008,0,8705635.163,14021881.411,0,67221331968.0,8589930496.0,2181021961.974,0.0,718.592
run_4_repetition_5,DONE,200,90,10.007,0,5927965.929,9497042.116,0,67221331968.0,8589930496.0,2187844923.077,0.0,474.248
run_5_repetition_5,DONE,200,53,95.046,0,55752182.633,88175140.686,0,67221331968.0,8589930496.0,2188963934.457,0.0,4616.62
run_6_repetition_5,DONE,200,66,0.402,0,478156.232,747472.816,0,67221331968.0,8589930496.0,2182874112.0,0.0,9.083
run_7_repetition_5,DONE,200,52,26.615,0,16270034.887,25304094.784,0,67221331968.0,8589930496.0,2193585978.785,0.0,1288.041
run_8_repetition_5,DONE,200,16,-1,0,364517.065,564026.214,0,67221331968.0,8589930496.0,2178248704.0,0.0,-1
run_0_repetition_6,DONE,200,4,16.61,0,10390434.917,16010751.899,0,67221331968.0,8589930496.0,2182209295.059,0.0,798.456
run_1_repetition_6,DONE,200,61,13.409,0,8507620.104,13040551.517,0,67221331968.0,8589930496.0,2175106597.101,0.0,640.252
run_2_repetition_6,DONE,200,79,84.241,0,53337988.62,80852309.069,0,67221331968.0,8589930496.0,2229906671.66,0.0,4093.892
run_3_repetition_6,DONE,200,63,15.209,0,10049754.58,15072868.79,0,67221331968.0,8589930496.0,2191370712.615,0.0,730.738
run_4_repetition_6,DONE,200,90,9.207,0,6228582.57,9300642.086,0,67221331968.0,8589930496.0,2186171306.667,0.0,437.563
run_5_repetition_6,DONE,200,53,94.647,0,62994048.339,93081509.031,0,67221331968.0,8589930496.0,2185149713.785,0.0,4616.785
run_6_repetition_6,DONE,200,66,0.402,0,541113.038,791913.274,0,67221331968.0,8589930496.0,2174914560.0,0.0,8.79
run_7_repetition_6,DONE,200,52,27.415,0,18942511.987,27600459.821,0,67221331968.0,8589930496.0,2191062111.77,0.0,1325.261
