Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_24,CPU_FREQUENCY_25,CPU_FREQUENCY_26,CPU_FREQUENCY_27,CPU_FREQUENCY_28,CPU_FREQUENCY_29,CPU_FREQUENCY_3,CPU_FREQUENCY_30,CPU_FREQUENCY_31,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_24,CPU_USAGE_25,CPU_USAGE_26,CPU_USAGE_27,CPU_USAGE_28,CPU_USAGE_29,CPU_USAGE_3,CPU_USAGE_30,CPU_USAGE_31,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1724728439362,800,840,799,803,858,799,1022,916,800,799,799,806,800,800,800,799,801,891,960,799,1575,861,799,830,1067,993,799,811,800,802,944,847,0,0,4.545454502105713,0,4.545454502105713,4.545454502105713,0,0,0,4.761904716491699,0,4.545454502105713,4.761904716491699,8.69565200805664,4.545454502105713,0,4.545454502105713,4.761904716491699,4.761904716491699,0,0,4.545454502105713,0,0,4.761904716491699,4.761904716491699,4.545454502105713,0,4.545454502105713,4.545454502105713,4.761904716491699,4.545454502105713,187377.93377685547,63657.7001953125,0,404335509504,0,27142406144,0
199,1724728439362,800,840,799,803,858,799,1022,916,800,799,799,806,800,800,800,799,801,891,960,799,1575,861,799,830,1067,993,799,811,800,802,944,847,0,0,4.545454502105713,0,4.545454502105713,4.545454502105713,0,0,0,4.761904716491699,0,4.545454502105713,4.761904716491699,8.69565200805664,4.545454502105713,0,4.545454502105713,4.761904716491699,4.761904716491699,0,0,4.545454502105713,0,0,4.761904716491699,4.761904716491699,4.545454502105713,0,4.545454502105713,4.545454502105713,4.761904716491699,4.545454502105713,187377.94512939453,63657.72131347656,0,404335509504,0,27142520832,0
199,1724728439562,800,840,799,803,858,799,1022,916,800,799,799,806,800,800,800,799,801,891,960,799,1575,861,799,830,1067,993,799,811,800,802,944,847,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,4.761904716491699,100,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,187379.9428100586,63662.505126953125,0,404335509504,0,27146444800,0
199,1724728439762,800,840,799,803,858,799,1022,916,800,799,799,806,800,800,800,799,801,891,960,799,1575,861,799,830,1067,993,799,811,800,802,944,847,0,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187384.22680664063,63668.900817871094,0,404335509504,0,27146448896,0
199,1724728439963,800,840,799,803,858,799,1022,916,800,799,799,806,800,800,800,799,801,891,960,799,1575,861,799,830,1067,993,799,811,800,802,944,847,4.761904716491699,0,0,5,0,0,0,0,0,0,0,0,5,100,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,5,187388.49505615234,63675.53680419922,0,404335509504,0,27146448896,0
199,1724728440163,800,840,799,803,858,799,1022,916,800,799,799,806,800,800,800,799,801,891,960,799,1575,861,799,830,1067,993,799,811,800,802,944,847,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,187392.72064208984,63682.17932128906,0,404335509504,0,27146448896,0
199,1724728440363,800,840,799,803,858,799,1022,916,800,799,799,806,800,800,800,799,801,891,960,799,1575,861,799,830,1067,993,799,811,800,802,944,847,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187396.9633178711,63688.828186035156,0,404335509504,0,27146448896,0
199,1724728440563,800,840,799,803,858,799,1022,916,800,799,799,806,800,800,800,799,801,891,960,799,1575,861,799,830,1067,993,799,811,800,802,944,847,5,0,0,5,0,0,20,0,0,0,5,5,0,90,5,4.761904716491699,0,0,0,0,0,0,4.761904716491699,0,5,0,5.263157844543457,0,0,0,0,5,187401.2045288086,63695.58142089844,0,404335509504,0,27146448896,0
199,1724728440763,800,840,799,803,858,799,1022,916,800,799,799,806,800,800,800,799,801,891,960,799,1575,861,799,830,1067,993,799,811,800,802,944,847,5,0,0,5,0,0,20,0,0,0,5,5,0,90,5,4.761904716491699,0,0,0,0,0,0,4.761904716491699,0,5,0,5.263157844543457,0,0,0,0,5,187405.4718017578,63702.170959472656,0,404335509504,0,27146448896,0
199,1724728440963,800,840,799,803,858,799,1022,916,800,799,799,806,800,800,800,799,801,891,960,799,1575,861,799,830,1067,993,799,811,800,802,944,847,2.5,2.5641026496887207,14.634145736694336,2.5,4.878048419952393,5,2.5,2.5,2.5,2.5,2.5,0,2.5,2.5,0,5,10,4.878048419952393,4.878048419952393,5.128205299377441,5,2.5,5,2.5,2.4390242099761963,2.5,100,2.5,2.4390242099761963,2.5,2.5,2.5,187409.85302734375,63708.92956542969,0,404335509504,0,27146452992,0
