Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_24,CPU_FREQUENCY_25,CPU_FREQUENCY_26,CPU_FREQUENCY_27,CPU_FREQUENCY_28,CPU_FREQUENCY_29,CPU_FREQUENCY_3,CPU_FREQUENCY_30,CPU_FREQUENCY_31,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_24,CPU_USAGE_25,CPU_USAGE_26,CPU_USAGE_27,CPU_USAGE_28,CPU_USAGE_29,CPU_USAGE_3,CPU_USAGE_30,CPU_USAGE_31,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1724802048265,910,1316,898,1872,1975,1455,1966,951,1307,893,1059,922,1088,1374,800,866,951,1857,1620,1847,1529,1812,2030,855,1631,2100,1995,799,1038,1193,1814,1008,4.545454502105713,0,0,4.545454502105713,4.34782600402832,0,4.545454502105713,4.34782600402832,4.545454502105713,4.545454502105713,0,9.090909004211426,4.545454502105713,4.545454502105713,4.545454502105713,0,0,0,0,0,4.34782600402832,0,0,4.34782600402832,4.545454502105713,9.090909004211426,0,0,0,0,0,0,196020.66564941406,256930.03686523438,0,404334891008,8589930496,37794222080,12402688
199,1724802048266,910,1316,898,1872,1975,1455,1966,951,1307,893,1059,922,1088,1374,800,866,951,1857,1620,1847,1529,1812,2030,855,1631,2100,1995,799,1038,1193,1814,1008,4.545454502105713,0,0,4.545454502105713,4.34782600402832,0,4.545454502105713,4.34782600402832,4.545454502105713,4.545454502105713,0,9.090909004211426,4.545454502105713,4.545454502105713,4.545454502105713,0,0,0,0,0,4.34782600402832,0,0,4.34782600402832,4.545454502105713,9.090909004211426,0,0,0,0,0,0,196020.67065429688,256930.05889892578,0,404334891008,8589930496,37794353152,12402688
199,1724802048466,910,1316,898,1872,1975,1455,1966,951,1307,893,1059,922,1088,1374,800,866,951,1857,1620,1847,1529,1812,2030,855,1631,2100,1995,799,1038,1193,1814,1008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,196021.95635986328,256935.38415527344,0,404334891008,8589930496,37797523456,12402688
199,1724802048666,910,1316,898,1872,1975,1455,1966,951,1307,893,1059,922,1088,1374,800,866,951,1857,1620,1847,1529,1812,2030,855,1631,2100,1995,799,1038,1193,1814,1008,0,0,0,0,0,0,9.523809432983398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,196024.67657470703,256942.17303466797,0,404334891008,8589930496,37797523456,12402688
199,1724802048866,910,1316,898,1872,1975,1455,1966,951,1307,893,1059,922,1088,1374,800,866,951,1857,1620,1847,1529,1812,2030,855,1631,2100,1995,799,1038,1193,1814,1008,0,0,0,0,0,0,9.523809432983398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,196027.42584228516,256948.93646240234,0,404334891008,8589930496,37797527552,12402688
199,1724802049066,910,1316,898,1872,1975,1455,1966,951,1307,893,1059,922,1088,1374,800,866,951,1857,1620,1847,1529,1812,2030,855,1631,2100,1995,799,1038,1193,1814,1008,0,0,0,0,0,5,0,2.4390242099761963,0,0,0,0,0,0,0,0,0,0,0,2.5,0,2.4390242099761963,0,0,0,0,0,2.5,0,100,0,2.5,196030.21649169922,256955.7514038086,0,404334891008,8589930496,37797527552,12402688
199,1724802049266,910,1316,898,1872,1975,1455,1966,951,1307,893,1059,922,1088,1374,800,866,951,1857,1620,1847,1529,1812,2030,855,1631,2100,1995,799,1038,1193,1814,1008,0,0,0,0,0,5,0,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4.761904716491699,100,0,0,196032.9835205078,256962.54443359375,0,404334891008,8589930496,37797527552,12402688
199,1724802049467,910,1316,898,1872,1975,1455,1966,951,1307,893,1059,922,1088,1374,800,866,951,1857,1620,1847,1529,1812,2030,855,1631,2100,1995,799,1038,1193,1814,1008,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,0,0,0,4.761904716491699,0,100,0,0,196035.71112060547,256969.31774902344,0,404334891008,8589930496,37797527552,12402688
199,1724802049667,910,1316,898,1872,1975,1455,1966,951,1307,893,1059,922,1088,1374,800,866,951,1857,1620,1847,1529,1812,2030,855,1631,2100,1995,799,1038,1193,1814,1008,0,0,0,0,0,0,0,0,0,4.761904716491699,0,4.761904716491699,0,0,5,0,0,0,0,0,4.761904716491699,0,5,0,0,0,0,0,4.761904716491699,100,0,0,196038.48455810547,256976.08166503906,0,404334891008,8589930496,37797531648,12402688
199,1724802049867,910,1316,898,1872,1975,1455,1966,951,1307,893,1059,922,1088,1374,800,866,951,1857,1620,1847,1529,1812,2030,855,1631,2100,1995,799,1038,1193,1814,1008,0,0,0,0,0,0,0,0,0,4.761904716491699,0,4.761904716491699,0,0,5,0,0,0,0,0,4.761904716491699,0,5,0,0,0,0,0,4.761904716491699,100,0,0,196041.22918701172,256982.83416748047,0,404334891008,8589930496,37797527552,12402688
