Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_24,CPU_FREQUENCY_25,CPU_FREQUENCY_26,CPU_FREQUENCY_27,CPU_FREQUENCY_28,CPU_FREQUENCY_29,CPU_FREQUENCY_3,CPU_FREQUENCY_30,CPU_FREQUENCY_31,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_24,CPU_USAGE_25,CPU_USAGE_26,CPU_USAGE_27,CPU_USAGE_28,CPU_USAGE_29,CPU_USAGE_3,CPU_USAGE_30,CPU_USAGE_31,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1727605742197,896,799,830,849,1883,800,835,799,882,800,807,799,870,815,800,980,806,1056,882,830,835,1165,800,800,828,799,804,800,925,800,800,832,0,12,4.545454502105713,4.34782600402832,8.333333969116211,8.69565200805664,4.34782600402832,17.39130401611328,0,12,8.333333969116211,4.34782600402832,4.34782600402832,4.545454502105713,8.69565200805664,8.333333969116211,12,4.34782600402832,8.69565200805664,8.333333969116211,8.333333969116211,8.333333969116211,8.69565200805664,4.34782600402832,0,4.545454502105713,4.34782600402832,4.34782600402832,4.545454502105713,4.545454502105713,8.69565200805664,4.34782600402832,126800.32745361328,115115.1245727539,0,404335493120,8589930496,43304759296,0
199,1727605742197,896,799,830,849,1883,800,835,799,882,800,807,799,870,815,800,980,806,1056,882,830,835,1165,800,800,828,799,804,800,925,800,800,832,0,12,4.545454502105713,4.34782600402832,8.333333969116211,8.69565200805664,4.34782600402832,17.39130401611328,0,12,8.333333969116211,4.34782600402832,4.34782600402832,4.545454502105713,8.69565200805664,8.333333969116211,12,4.34782600402832,8.69565200805664,8.333333969116211,8.333333969116211,8.333333969116211,8.69565200805664,4.34782600402832,0,4.545454502105713,4.34782600402832,4.34782600402832,4.545454502105713,4.545454502105713,8.69565200805664,4.34782600402832,126800.33752441406,115115.14483642578,0,404335493120,8589930496,43304837120,0
199,1727605742397,896,799,830,849,1883,800,835,799,882,800,807,799,870,815,800,980,806,1056,882,830,835,1165,800,800,828,799,804,800,925,800,800,832,0,0,0,100,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126802.19909667969,115119.18176269531,0,404335493120,8589930496,43309088768,0
199,1727605742597,896,799,830,849,1883,800,835,799,882,800,807,799,870,815,800,980,806,1056,882,830,835,1165,800,800,828,799,804,800,925,800,800,832,0,0,0,100,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,0,0,126804.03424072266,115123.63269042969,0,404335493120,8589930496,43309105152,0
199,1727605742798,896,799,830,849,1883,800,835,799,882,800,807,799,870,815,800,980,806,1056,882,830,835,1165,800,800,828,799,804,800,925,800,800,832,0,0,0,100,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,0,0,126805.8325805664,115128.62854003906,0,404335493120,8589930496,43309105152,0
199,1727605742998,896,799,830,849,1883,800,835,799,882,800,807,799,870,815,800,980,806,1056,882,830,835,1165,800,800,828,799,804,800,925,800,800,832,0,0,0,100,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126807.63549804688,115133.58020019531,0,404335493120,8589930496,43309105152,0
199,1727605743198,896,799,830,849,1883,800,835,799,882,800,807,799,870,815,800,980,806,1056,882,830,835,1165,800,800,828,799,804,800,925,800,800,832,0,0,0,100,0,0,0,2.4390242099761963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4390242099761963,0,0,0,0,2.5,126809.474609375,115138.58404541016,0,404335493120,8589930496,43309150208,0
199,1727605743398,896,799,830,849,1883,800,835,799,882,800,807,799,870,815,800,980,806,1056,882,830,835,1165,800,800,828,799,804,800,925,800,800,832,0,0,0,100,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126811.32708740234,115143.54681396484,0,404335493120,8589930496,43309150208,0
199,1727605743598,896,799,830,849,1883,800,835,799,882,800,807,799,870,815,800,980,806,1056,882,830,835,1165,800,800,828,799,804,800,925,800,800,832,0,0,0,100,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126813.20196533203,115148.50494384766,0,404335493120,8589930496,43309150208,0
199,1727605743798,896,799,830,849,1883,800,835,799,882,800,807,799,870,815,800,980,806,1056,882,830,835,1165,800,800,828,799,804,800,925,800,800,832,0,0,0,100,0,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126815.02313232422,115153.4780883789,0,404335493120,8589930496,43309150208,0
