Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1721596976371,3696,3731,3840,3747,3659,3525,3525,3525,6.6666669845581055,6.45161247253418,6.45161247253418,3.125,9.090909004211426,6.45161247253418,100,6.25,24292.056762695313,165606.2384033203,135189.4207763672,5048.4188232421875,16532025344,4294963200,3860733952,815067136
500,1721596976371,3696,3731,3840,3747,3659,3525,3525,3525,6.6666669845581055,6.45161247253418,6.45161247253418,3.125,9.090909004211426,6.45161247253418,100,6.25,24292.057556152344,165606.26104736328,135189.4259033203,5048.4188232421875,16532025344,4294963200,3860733952,815067136
500,1721596976871,3696,3731,3840,3747,3659,3525,3525,3525,0,98.07691955566406,0,0,0,0,100,0,24292.231567382813,165616.97344970703,135199.74145507813,5048.4188232421875,16532025344,4294963200,3865370624,815067136
500,1721596977371,3696,3731,3840,3747,3659,3525,3525,3525,0,100,56,0,0,0,46,0,24292.403076171875,165627.17797851563,135209.55987548828,5048.4188232421875,16532025344,4294963200,3865370624,815067136
500,1721596977871,3696,3731,3840,3747,3659,3525,3525,3525,0,100,98,0,0,0,2,0,24292.5751953125,165637.3637084961,135219.36157226563,5048.4188232421875,16532025344,4294963200,3865370624,815067136
500,1721596978371,3696,3731,3840,3747,3659,3525,3525,3525,1.9607844352722168,100,0,0,0,0,100,0,24292.747131347656,165647.595703125,135229.21099853516,5048.4188232421875,16532025344,4294963200,3865366528,815067136
500,1721596978871,3696,3731,3840,3747,3659,3525,3525,3525,0,100,1.9607844352722168,1.9607844352722168,0,0,100,1.9607844352722168,24292.9228515625,165657.9076538086,135239.02770996094,5048.4188232421875,16532025344,4294963200,3865366528,815067136
500,1721596979371,3696,3731,3840,3747,3659,3525,3525,3525,0,4.081632614135742,96,0,0,96,4,0,24293.10076904297,165668.10931396484,135248.84106445313,5048.422607421875,16532025344,4294963200,3856986112,815067136
500,1721596979872,3696,3731,3840,3747,3659,3525,3525,3525,0,0,100,0,0,100,0,0,24293.275451660156,165678.26611328125,135258.6103515625,5048.422607421875,16532025344,4294963200,3856453632,815067136
500,1721596980372,3696,3731,3840,3747,3659,3525,3525,3525,0,0,100,0,0,100,0,0,24293.453186035156,165688.44427490234,135268.37744140625,5048.4261474609375,16532025344,4294963200,3856211968,815067136
500,1721596980872,3696,3731,3840,3747,3659,3525,3525,3525,1.9607844352722168,0,100,0,0,100,0,0,24293.625122070313,165698.67126464844,135278.1085205078,5048.4261474609375,16532025344,4294963200,3856211968,815067136
500,1721596981372,3696,3731,3840,3747,3659,3525,3525,3525,0,0,100,1.9607844352722168,0,100,0,0,24293.79608154297,165708.75811767578,135287.81298828125,5048.4261474609375,16532025344,4294963200,3856211968,815067136
499,1721596981872,3696,3731,3840,3747,3659,3525,3525,3525,0,0,100,0,0,100,0,0,24293.9677734375,165718.9412841797,135297.49938964844,5048.4261474609375,16532025344,4294963200,3856211968,815067136
500,1721596982372,3696,3731,3840,3747,3659,3525,3525,3525,0,0,100,0,0,100,0,0,24294.140197753906,165729.02954101563,135307.2015991211,5048.4261474609375,16532025344,4294963200,3856203776,815067136
500,1721596982872,3696,3731,3840,3747,3659,3525,3525,3525,0,0,100,1.9607844352722168,0,100,0,0,24294.312622070313,165739.12384033203,135316.9168701172,5048.4261474609375,16532025344,4294963200,3856461824,815067136
500,1721596983372,3696,3731,3840,3747,3659,3525,3525,3525,1.9607844352722168,0,100,0,0,100,0,0,24294.483642578125,165749.28826904297,135326.69470214844,5048.4261474609375,16532025344,4294963200,3856461824,815067136
500,1721596983872,3696,3731,3840,3747,3659,3525,3525,3525,0,0,100,0,0,100,0,0,24294.658264160156,165759.46160888672,135336.47399902344,5048.4261474609375,16532025344,4294963200,3856461824,815067136
500,1721596984372,3696,3731,3840,3747,3659,3525,3525,3525,0,72,100,0,0,28,0,0,24294.8291015625,165769.58172607422,135346.21026611328,5048.4261474609375,16532025344,4294963200,3856461824,815067136
500,1721596984872,3696,3731,3840,3747,3659,3525,3525,3525,0,100,100,0,0,0,0,0,24295.000732421875,165779.7352294922,135355.9800415039,5048.4261474609375,16532025344,4294963200,3856461824,815067136
500,1721596985372,3696,3731,3840,3747,3659,3525,3525,3525,0,100,100,0,0,0,0,0,24295.171752929688,165789.87884521484,135365.74114990234,5048.4261474609375,16532025344,4294963200,3856461824,815067136
500,1721596985873,3696,3731,3840,3747,3659,3525,3525,3525,0,100,100,0,0,0,0,0,24295.343994140625,165800.01989746094,135375.49670410156,5048.4261474609375,16532025344,4294963200,3856457728,815067136
500,1721596986373,3696,3731,3840,3747,3659,3525,3525,3525,2,38,100,0,0,62,0,1.9607844352722168,24295.51593017578,165810.15600585938,135385.2300415039,5048.4261474609375,16532025344,4294963200,3856457728,815067136
500,1721596986873,3696,3731,3840,3747,3659,3525,3525,3525,0,0,100,1.9607844352722168,1.9607844352722168,100,0,1.9607844352722168,24295.68780517578,165820.27850341797,135394.9673461914,5048.4261474609375,16532025344,4294963200,3856457728,815067136
500,1721596987373,3696,3731,3840,3747,3659,3525,3525,3525,0,0,100,0,0,100,0,0,24295.85858154297,165830.46606445313,135404.62866210938,5048.4261474609375,16532025344,4294963200,3856457728,815067136
500,1721596987873,3696,3731,3840,3747,3659,3525,3525,3525,0,0,100,0,0,100,0,0,24296.033752441406,165840.60125732422,135414.3839111328,5048.4261474609375,16532025344,4294963200,3856449536,815067136
