Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_24,CPU_FREQUENCY_25,CPU_FREQUENCY_26,CPU_FREQUENCY_27,CPU_FREQUENCY_28,CPU_FREQUENCY_29,CPU_FREQUENCY_3,CPU_FREQUENCY_30,CPU_FREQUENCY_31,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_24,CPU_USAGE_25,CPU_USAGE_26,CPU_USAGE_27,CPU_USAGE_28,CPU_USAGE_29,CPU_USAGE_3,CPU_USAGE_30,CPU_USAGE_31,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1724783700454,1488,1218,1059,1560,1374,1549,1216,1160,1297,1275,817,960,810,1186,988,813,799,1337,1495,1515,994,1200,907,1433,1198,1154,1719,1710,810,800,1507,925,4.545454502105713,0,4.545454502105713,0,8.333333969116211,4.34782600402832,0,0,0,8.69565200805664,0,0,8.69565200805664,4.34782600402832,0,4.34782600402832,0,8.69565200805664,4.34782600402832,4.545454502105713,8.69565200805664,4.34782600402832,0,4.545454502105713,4.34782600402832,4.34782600402832,4.34782600402832,0,0,0,8.69565200805664,4.545454502105713,113527.52001953125,30429.377990722656,0,404334891008,8589930496,37815623680,12402688
199,1724783700455,1488,1218,1059,1560,1374,1549,1216,1160,1297,1275,817,960,810,1186,988,813,799,1337,1495,1515,994,1200,907,1433,1198,1154,1719,1710,810,800,1507,925,4.545454502105713,0,4.545454502105713,0,8.333333969116211,4.34782600402832,0,0,0,8.69565200805664,0,0,8.69565200805664,4.34782600402832,0,4.34782600402832,0,8.69565200805664,4.34782600402832,4.545454502105713,8.69565200805664,4.34782600402832,0,4.545454502105713,4.34782600402832,4.34782600402832,4.34782600402832,0,0,0,8.69565200805664,4.545454502105713,113527.52423095703,30429.40057373047,0,404334891008,8589930496,37815721984,12402688
199,1724783700655,1488,1218,1059,1560,1374,1549,1216,1160,1297,1275,817,960,810,1186,988,813,799,1337,1495,1515,994,1200,907,1433,1198,1154,1719,1710,810,800,1507,925,0,0,100,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,113527.90893554688,30433.744079589844,0,404334891008,8589930496,37823746048,12402688
199,1724783700855,1488,1218,1059,1560,1374,1549,1216,1160,1297,1275,817,960,810,1186,988,813,799,1337,1495,1515,994,1200,907,1433,1198,1154,1719,1710,810,800,1507,925,0,5,100,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113528.30541992188,30439.1337890625,0,404334891008,8589930496,37823746048,12402688
199,1724783701055,1488,1218,1059,1560,1374,1549,1216,1160,1297,1275,817,960,810,1186,988,813,799,1337,1495,1515,994,1200,907,1433,1198,1154,1719,1710,810,800,1507,925,0,0,100,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,4.761904716491699,0,0,0,113528.73455810547,30444.630920410156,0,404334891008,8589930496,37823750144,12402688
199,1724783701255,1488,1218,1059,1560,1374,1549,1216,1160,1297,1275,817,960,810,1186,988,813,799,1337,1495,1515,994,1200,907,1433,1198,1154,1719,1710,810,800,1507,925,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113529.08764648438,30450.046875,0,404334891008,8589930496,37823750144,12402688
199,1724783701455,1488,1218,1059,1560,1374,1549,1216,1160,1297,1275,817,960,810,1186,988,813,799,1337,1495,1515,994,1200,907,1433,1198,1154,1719,1710,810,800,1507,925,0,0,100,0,0,0,4.761904716491699,0,0,4.761904716491699,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113529.46478271484,30455.490478515625,0,404334891008,8589930496,37823750144,12402688
199,1724783701655,1488,1218,1059,1560,1374,1549,1216,1160,1297,1275,817,960,810,1186,988,813,799,1337,1495,1515,994,1200,907,1433,1198,1154,1719,1710,810,800,1507,925,0,0,100,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113529.83514404297,30460.92559814453,0,404334891008,8589930496,37823750144,12402688
199,1724783701855,1488,1218,1059,1560,1374,1549,1216,1160,1297,1275,817,960,810,1186,988,813,799,1337,1495,1515,994,1200,907,1433,1198,1154,1719,1710,810,800,1507,925,0,0,100,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,113530.20629882813,30466.330444335938,0,404334891008,8589930496,37823754240,12402688
199,1724783702056,1488,1218,1059,1560,1374,1549,1216,1160,1297,1275,817,960,810,1186,988,813,799,1337,1495,1515,994,1200,907,1433,1198,1154,1719,1710,810,800,1507,925,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113530.63470458984,30471.828002929688,0,404334891008,8589930496,37823758336,12402688
