__run_id,__done,sampling,llm,code,Time,TOTAL_DRAM_ENERGY (J),TOTAL_PACKAGE_ENERGY (J),TOTAL_PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,AVG_USED_MEMORY,AVG_USED_SWAP,TOTAL_ENERGY (J)
run_0_repetition_0,DONE,200,code-millenials-34b_temp_0.0,4,178.719,199420737.491,115923004.569,0,404335509504.0,0.0,27008506970.387,0.0,5057.695
run_1_repetition_0,DONE,200,code-millenials-34b_temp_0.0,61,135.695,153546956.41,92084030.172,0,404335509504.0,0.0,27008934966.212,0.0,4356.295
run_2_repetition_0,DONE,200,code-millenials-34b_temp_0.0,79,167.716,192422854.894,118748743.332,0,404335509504.0,0.0,27009963656.533,0.0,5406.416
run_3_repetition_0,DONE,200,code-millenials-34b_temp_0.0,63,176.521,205148383.933,130495232.005,0,404335509504.0,0.0,27009640883.548,0.0,4987.694
run_4_repetition_0,DONE,200,code-millenials-34b_temp_0.0,90,194.126,228124235.074,149573862.372,0,404335509504.0,0.0,27012909140.28,0.0,5294.471
run_5_repetition_0,DONE,200,code-millenials-34b_temp_0.0,53,152.107,181307640.877,122123599.74,0,404335509504.0,0.0,27011232921.197,0.0,5063.344
run_6_repetition_0,DONE,200,code-millenials-34b_temp_0.0,66,149.706,180863426.775,124646410.152,0,404335509504.0,0.0,27013897459.029,0.0,4739.17
run_7_repetition_0,DONE,200,code-millenials-34b_temp_0.0,52,172.716,210971150.648,148810230.11,0,404335509504.0,0.0,27017154967.232,0.0,4830.004
run_8_repetition_0,DONE,200,code-millenials-34b_temp_0.0,16,173.523,214419257.787,154829938.994,0,404335509504.0,0.0,27050486497.657,0.0,5283.856
run_9_repetition_0,DONE,200,speechless-codellama-34b_temp_0.0,4,138.899,173833014.354,128124343.133,0,404335509504.0,0.0,27014224654.713,0.0,4278.626
run_10_repetition_0,DONE,200,speechless-codellama-34b_temp_0.0,61,155.107,195912942.146,147197987.455,0,404335509504.0,0.0,27013011474.45,0.0,4000.118
run_11_repetition_0,DONE,200,speechless-codellama-34b_temp_0.0,79,169.716,216359327.853,165843993.296,0,404335509504.0,0.0,27014140834.033,0.0,4829.059
run_12_repetition_0,DONE,200,speechless-codellama-34b_temp_0.0,63,99.468,127850849.027,99682027.902,0,404335509504.0,0.0,27015309554.148,0.0,2610.245
run_13_repetition_0,DONE,200,speechless-codellama-34b_temp_0.0,90,166.71,216071616.108,171136649.773,0,404335509504.0,0.0,27017781630.62,0.0,5545.275
run_14_repetition_0,DONE,200,speechless-codellama-34b_temp_0.0,53,162.514,108289260.914,171999507.854,0,404335509504.0,0.0,27016256278.015,0.0,5149.704
run_15_repetition_0,DONE,200,speechless-codellama-34b_temp_0.0,66,157.71,2467623.134,171731731.609,0,404335509504.0,0.0,27016720254.38,0.0,4873.744
run_16_repetition_0,DONE,200,speechless-codellama-34b_temp_0.0,52,174.917,5959284.657,196201031.012,0,404335509504.0,0.0,27022347408.95,0.0,5828.519
run_17_repetition_0,DONE,200,speechless-codellama-34b_temp_0.0,16,195.532,10733556.046,226356481.56,0,404335509504.0,0.0,27055758226.174,0.0,6318.73
run_18_repetition_0,DONE,200,wizardcoder-33b-1.1_temp_0.0,4,169.119,12453294.735,201721592.79,0,404335509504.0,0.0,27019769640.803,0.0,5560.87
run_19_repetition_0,DONE,200,wizardcoder-33b-1.1_temp_0.0,61,249.364,23985281.52,307206613.932,0,404335509504.0,0.0,27019414206.359,0.0,8229.133
run_20_repetition_0,DONE,200,wizardcoder-33b-1.1_temp_0.0,79,173.121,20802526.098,220502385.832,0,404335509504.0,0.0,27017575493.684,0.0,5770.262
run_21_repetition_0,TODO,200,wizardcoder-33b-1.1_temp_0.0,63, , , , , , , , , 
run_22_repetition_0,DONE,200,wizardcoder-33b-1.1_temp_0.0,90,185.735,29481459.475,6384122.878,0,404335509504.0,0.0,27017968043.217,0.0,6148.874
run_23_repetition_0,DONE,200,wizardcoder-33b-1.1_temp_0.0,53,153.099,27176963.181,10382204.043,0,404335509504.0,0.0,27016454902.321,0.0,5024.292
run_24_repetition_0,DONE,200,wizardcoder-33b-1.1_temp_0.0,66,150.307,29299828.745,14818325.809,0,404335509504.0,0.0,27019070465.36,0.0,4985.742
run_25_repetition_0,DONE,200,wizardcoder-33b-1.1_temp_0.0,52,174.921,37379913.624,22971889.777,0,404335509504.0,0.0,27024268395.543,0.0,5866.344
run_26_repetition_0,DONE,200,wizardcoder-33b-1.1_temp_0.0,16,173.92,40664338.147,28875171.066,0,404335509504.0,0.0,27057120924.951,0.0,5814.4
run_0_repetition_1,DONE,200,code-millenials-34b_temp_0.0,4,179.121,45517749.724,36028788.124,0,404335509504.0,0.0,27021351882.346,0.0,5904.928
run_1_repetition_1,DONE,200,code-millenials-34b_temp_0.0,61,137.495,37346413.548,31992766.447,0,404335509504.0,0.0,27020971788.261,0.0,4552.672
