Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_24,CPU_FREQUENCY_25,CPU_FREQUENCY_26,CPU_FREQUENCY_27,CPU_FREQUENCY_28,CPU_FREQUENCY_29,CPU_FREQUENCY_3,CPU_FREQUENCY_30,CPU_FREQUENCY_31,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_24,CPU_USAGE_25,CPU_USAGE_26,CPU_USAGE_27,CPU_USAGE_28,CPU_USAGE_29,CPU_USAGE_3,CPU_USAGE_30,CPU_USAGE_31,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1724174924966,1099,1087,1097,800,899,800,900,800,800,800,800,799,1100,803,800,800,800,799,800,800,799,799,799,800,800,799,800,800,800,800,800,1101,8.571429252624512,5.555555820465088,2.857142925262451,2.857142925262451,2.857142925262451,5.555555820465088,5.555555820465088,2.857142925262451,5.714285850524902,5.714285850524902,2.941176414489746,5.714285850524902,2.857142925262451,8.108107566833496,5.714285850524902,5.555555820465088,5.555555820465088,5.555555820465088,2.857142925262451,2.857142925262451,5.555555820465088,2.857142925262451,2.941176414489746,5.555555820465088,5.555555820465088,8.108107566833496,2.857142925262451,2.857142925262451,5.555555820465088,2.857142925262451,8.571429252624512,5.555555820465088,0,27834.409057617188,126387.4086303711,0,67221331968,8589930496,1343995904,460603392
199,1724174924966,1099,1087,1097,800,899,800,900,800,800,800,800,799,1100,803,800,800,800,799,800,800,799,799,799,800,800,799,800,800,800,800,800,1101,8.571429252624512,5.555555820465088,2.857142925262451,2.857142925262451,2.857142925262451,5.555555820465088,5.555555820465088,2.857142925262451,5.714285850524902,5.714285850524902,2.941176414489746,5.714285850524902,2.857142925262451,8.108107566833496,5.714285850524902,5.555555820465088,5.555555820465088,5.555555820465088,2.857142925262451,2.857142925262451,5.555555820465088,2.857142925262451,2.941176414489746,5.555555820465088,5.555555820465088,8.108107566833496,2.857142925262451,2.857142925262451,5.555555820465088,2.857142925262451,8.571429252624512,5.555555820465088,0,27834.41571044922,126387.4096069336,0,67221331968,8589930496,1343995904,460603392
200,1724174925166,1099,1087,1097,800,899,800,900,800,800,800,800,799,1100,803,800,800,800,799,800,800,799,799,799,800,800,799,800,800,800,800,800,1101,4.545454502105713,0,0,0,0,0,0,0,19.047618865966797,0,0,0,33.333335876464844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.85714340209961,0,0,27842.953247070313,126394.6226196289,0,67221331968,8589930496,1346547712,460603392
200,1724174925366,1099,1087,1097,800,899,800,900,800,800,800,800,799,1100,803,800,800,800,799,800,800,799,799,799,800,800,799,800,800,800,800,800,1101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,27853.671325683594,126404.01745605469,0,67221331968,8589930496,1346547712,460603392
200,1724174925566,1099,1087,1097,800,899,800,900,800,800,800,800,799,1100,803,800,800,800,799,800,800,799,799,799,800,800,799,800,800,800,800,800,1101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,27864.45330810547,126413.47674560547,0,67221331968,8589930496,1346547712,460603392
200,1724174925767,1099,1087,1097,800,899,800,900,800,800,800,800,799,1100,803,800,800,800,799,800,800,799,799,799,800,800,799,800,800,800,800,800,1101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,27875.37335205078,126423.07232666016,0,67221331968,8589930496,1346547712,460603392
200,1724174925967,1099,1087,1097,800,899,800,900,800,800,800,800,799,1100,803,800,800,800,799,800,800,799,799,799,800,800,799,800,800,800,800,800,1101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,27886.24981689453,126432.62658691406,0,67221331968,8589930496,1349054464,460603392
200,1724174926167,1099,1087,1097,800,899,800,900,800,800,800,800,799,1100,803,800,800,800,799,800,800,799,799,799,800,800,799,800,800,800,800,800,1101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,27897.377990722656,126442.43225097656,0,67221331968,8589930496,1349054464,460603392
200,1724174926367,1099,1087,1097,800,899,800,900,800,800,800,800,799,1100,803,800,800,800,799,800,800,799,799,799,800,800,799,800,800,800,800,800,1101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,27908.46240234375,126452.19274902344,0,67221331968,8589930496,1349054464,460603392
200,1724174926567,1099,1087,1097,800,899,800,900,800,800,800,800,799,1100,803,800,800,800,799,800,800,799,799,799,800,800,799,800,800,800,800,800,1101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,27919.626831054688,126462.03308105469,0,67221331968,8589930496,1349054464,460603392
