Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_24,CPU_FREQUENCY_25,CPU_FREQUENCY_26,CPU_FREQUENCY_27,CPU_FREQUENCY_28,CPU_FREQUENCY_29,CPU_FREQUENCY_3,CPU_FREQUENCY_30,CPU_FREQUENCY_31,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_24,CPU_USAGE_25,CPU_USAGE_26,CPU_USAGE_27,CPU_USAGE_28,CPU_USAGE_29,CPU_USAGE_3,CPU_USAGE_30,CPU_USAGE_31,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1727550420258,1200,1097,800,800,800,1505,1199,1166,900,1470,899,800,1200,900,899,800,800,900,900,800,800,899,800,800,898,800,800,1103,800,800,1073,954,2.702702760696411,5.263157844543457,5.128205299377441,2.702702760696411,5.405405521392822,5.263157844543457,7.894736289978027,5.263157844543457,2.777777910232544,5.263157844543457,5.263157844543457,5.263157844543457,10.526315689086914,2.777777910232544,2.702702760696411,2.777777910232544,2.702702760696411,7.692307949066162,5.263157844543457,5.263157844543457,5.263157844543457,2.702702760696411,5.263157844543457,5.263157844543457,5.263157844543457,5.263157844543457,5.263157844543457,5.263157844543457,7.894736289978027,2.702702760696411,2.702702760696411,5.263157844543457,0,212181.10943603516,218413.0923461914,0,67221336064,8589930496,1964990464,252059648
199,1727550420258,1200,1097,800,800,800,1505,1199,1166,900,1470,899,800,1200,900,899,800,800,900,900,800,800,899,800,800,898,800,800,1103,800,800,1073,954,2.702702760696411,5.263157844543457,5.128205299377441,2.702702760696411,5.405405521392822,5.263157844543457,7.894736289978027,5.263157844543457,2.777777910232544,5.263157844543457,5.263157844543457,5.263157844543457,10.526315689086914,2.777777910232544,2.702702760696411,2.777777910232544,2.702702760696411,7.692307949066162,5.263157844543457,5.263157844543457,5.263157844543457,2.702702760696411,5.263157844543457,5.263157844543457,5.263157844543457,5.263157844543457,5.263157844543457,5.263157844543457,7.894736289978027,2.702702760696411,2.702702760696411,5.263157844543457,0,212181.10943603516,218413.0923461914,0,67221336064,8589930496,1964990464,252059648
200,1727550420458,1200,1097,800,800,800,1505,1199,1166,900,1470,899,800,1200,900,899,800,800,900,900,800,800,899,800,800,898,800,800,1103,800,800,1073,954,0,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.000001907348633,0,0,0,65,0,0,212191.11376953125,218421.36163330078,0,67221336064,8589930496,1969115136,252059648
200,1727550420658,1200,1097,800,800,800,1505,1199,1166,900,1470,899,800,1200,900,899,800,800,900,900,800,800,899,800,800,898,800,800,1103,800,800,1073,954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,212201.90197753906,218430.52655029297,0,67221336064,8589930496,1969115136,252059648
200,1727550420858,1200,1097,800,800,800,1505,1199,1166,900,1470,899,800,1200,900,899,800,800,900,900,800,800,899,800,800,898,800,800,1103,800,800,1073,954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,212212.74737548828,218439.69311523438,0,67221336064,8589930496,1969115136,252059648
200,1727550421058,1200,1097,800,800,800,1505,1199,1166,900,1470,899,800,1200,900,899,800,800,900,900,800,800,899,800,800,898,800,800,1103,800,800,1073,954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,212223.6915283203,218448.95739746094,0,67221336064,8589930496,1969115136,252059648
200,1727550421258,1200,1097,800,800,800,1505,1199,1166,900,1470,899,800,1200,900,899,800,800,900,900,800,800,899,800,800,898,800,800,1103,800,800,1073,954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,212234.66864013672,218458.2484741211,0,67221336064,8589930496,1969115136,252059648
200,1727550421458,1200,1097,800,800,800,1505,1199,1166,900,1470,899,800,1200,900,899,800,800,900,900,800,800,899,800,800,898,800,800,1103,800,800,1073,954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,212245.6488647461,218467.5474243164,0,67221336064,8589930496,1969115136,252059648
200,1727550421659,1200,1097,800,800,800,1505,1199,1166,900,1470,899,800,1200,900,899,800,800,900,900,800,800,899,800,800,898,800,800,1103,800,800,1073,954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,212256.5806274414,218476.80169677734,0,67221336064,8589930496,1969115136,252059648
200,1727550421859,1200,1097,800,800,800,1505,1199,1166,900,1470,899,800,1200,900,899,800,800,900,900,800,800,899,800,800,898,800,800,1103,800,800,1073,954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,212267.5513305664,218486.09155273438,0,67221336064,8589930496,1969115136,252059648
200,1727550422059,1200,1097,800,800,800,1505,1199,1166,900,1470,899,800,1200,900,899,800,800,900,900,800,800,899,800,800,898,800,800,1103,800,800,1073,954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,212278.6064453125,218495.46490478516,0,67221336064,8589930496,1969115136,252059648
200,1727550422259,1200,1097,800,800,800,1505,1199,1166,900,1470,899,800,1200,900,899,800,800,900,900,800,800,899,800,800,898,800,800,1103,800,800,1073,954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,212289.67834472656,218504.8569946289,0,67221336064,8589930496,1969115136,252059648
200,1727550422459,1200,1097,800,800,800,1505,1199,1166,900,1470,899,800,1200,900,899,800,800,900,900,800,800,899,800,800,898,800,800,1103,800,800,1073,954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,212300.80767822266,218514.30242919922,0,67221336064,8589930496,1969115136,252059648
200,1727550422659,1200,1097,800,800,800,1505,1199,1166,900,1470,899,800,1200,900,899,800,800,900,900,800,800,899,800,800,898,800,800,1103,800,800,1073,954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,212311.87506103516,218523.68939208984,0,67221336064,8589930496,1969115136,252059648
200,1727550422859,1200,1097,800,800,800,1505,1199,1166,900,1470,899,800,1200,900,899,800,800,900,900,800,800,899,800,800,898,800,800,1103,800,800,1073,954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,212323.06378173828,218533.19091796875,0,67221336064,8589930496,1969115136,252059648
200,1727550423059,1200,1097,800,800,800,1505,1199,1166,900,1470,899,800,1200,900,899,800,800,900,900,800,800,899,800,800,898,800,800,1103,800,800,1073,954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,212334.18200683594,218542.63055419922,0,67221336064,8589930496,1969115136,252059648
