Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_24,CPU_FREQUENCY_25,CPU_FREQUENCY_26,CPU_FREQUENCY_27,CPU_FREQUENCY_28,CPU_FREQUENCY_29,CPU_FREQUENCY_3,CPU_FREQUENCY_30,CPU_FREQUENCY_31,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_24,CPU_USAGE_25,CPU_USAGE_26,CPU_USAGE_27,CPU_USAGE_28,CPU_USAGE_29,CPU_USAGE_3,CPU_USAGE_30,CPU_USAGE_31,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1724750110568,810,1309,1401,1747,1003,1314,1302,971,1188,868,848,839,867,1308,1230,1743,1274,916,1368,1552,1753,2019,1485,1200,1236,963,1417,1301,1111,907,1408,1249,8.69565200805664,4.34782600402832,0,0,4.34782600402832,4.34782600402832,0,0,0,4.545454502105713,8.69565200805664,0,8.69565200805664,4.34782600402832,4.34782600402832,4.34782600402832,4.545454502105713,4.34782600402832,0,4.34782600402832,0,8.69565200805664,8.69565200805664,4.545454502105713,4.34782600402832,4.34782600402832,12.5,0,0,0,8.69565200805664,4.34782600402832,217262.75952148438,178687.46411132813,0,404334891008,8589930496,37727969280,12402688
199,1724750110569,810,1309,1401,1747,1003,1314,1302,971,1188,868,848,839,867,1308,1230,1743,1274,916,1368,1552,1753,2019,1485,1200,1236,963,1417,1301,1111,907,1408,1249,8.69565200805664,4.34782600402832,0,0,4.34782600402832,4.34782600402832,0,0,0,4.545454502105713,8.69565200805664,0,8.69565200805664,4.34782600402832,4.34782600402832,4.34782600402832,4.545454502105713,4.34782600402832,0,4.34782600402832,0,8.69565200805664,8.69565200805664,4.545454502105713,4.34782600402832,4.34782600402832,12.5,0,0,0,8.69565200805664,4.34782600402832,217262.76428222656,178687.48571777344,0,404334891008,8589930496,37728313344,12402688
199,1724750110769,810,1309,1401,1747,1003,1314,1302,971,1188,868,848,839,867,1308,1230,1743,1274,916,1368,1552,1753,2019,1485,1200,1236,963,1417,1301,1111,907,1408,1249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,0,0,0,4.761904716491699,0,100,0,0,0,0,0,4.761904716491699,0,0,0,217263.0997314453,178691.7471923828,0,404334891008,8589930496,37730963456,12402688
199,1724750110969,810,1309,1401,1747,1003,1314,1302,971,1188,868,848,839,867,1308,1230,1743,1274,916,1368,1552,1753,2019,1485,1200,1236,963,1417,1301,1111,907,1408,1249,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,9.523809432983398,100,0,0,0,0,0,0,5,0,0,217263.4437866211,178696.98376464844,0,404334891008,8589930496,37730963456,12402688
199,1724750111169,810,1309,1401,1747,1003,1314,1302,971,1188,868,848,839,867,1308,1230,1743,1274,916,1368,1552,1753,2019,1485,1200,1236,963,1417,1301,1111,907,1408,1249,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,0,5,0,0,5,100,0,0,0,0,0,0,0,0,0,217263.79278564453,178702.4073486328,0,404334891008,8589930496,37730963456,12402688
199,1724750111369,810,1309,1401,1747,1003,1314,1302,971,1188,868,848,839,867,1308,1230,1743,1274,916,1368,1552,1753,2019,1485,1200,1236,963,1417,1301,1111,907,1408,1249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,4.761904716491699,0,0,0,0,0,0,0,217264.12768554688,178707.85577392578,0,404334891008,8589930496,37730963456,12402688
199,1724750111570,810,1309,1401,1747,1003,1314,1302,971,1188,868,848,839,867,1308,1230,1743,1274,916,1368,1552,1753,2019,1485,1200,1236,963,1417,1301,1111,907,1408,1249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,217264.4359741211,178713.35821533203,0,404334891008,8589930496,37730709504,12402688
199,1724750111770,810,1309,1401,1747,1003,1314,1302,971,1188,868,848,839,867,1308,1230,1743,1274,916,1368,1552,1753,2019,1485,1200,1236,963,1417,1301,1111,907,1408,1249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,5,0,0,0,0,0,0,0,0,217264.76922607422,178718.8233642578,0,404334891008,8589930496,37730709504,12402688
199,1724750111970,810,1309,1401,1747,1003,1314,1302,971,1188,868,848,839,867,1308,1230,1743,1274,916,1368,1552,1753,2019,1485,1200,1236,963,1417,1301,1111,907,1408,1249,0,4.761904716491699,0,0,0,0,0,0,4.761904716491699,5,4.761904716491699,15.000000953674316,5.263157844543457,10,9.523809432983398,10,0,0,0,0,14.285715103149414,5,100,0,0,5,0,0,5,10.526315689086914,0,4.761904716491699,217265.30639648438,178724.91229248047,0,404334891008,8589930496,37731106816,12402688
199,1724750112170,810,1309,1401,1747,1003,1314,1302,971,1188,868,848,839,867,1308,1230,1743,1274,916,1368,1552,1753,2019,1485,1200,1236,963,1417,1301,1111,907,1408,1249,0,4.761904716491699,0,0,0,0,0,0,4.761904716491699,5,4.761904716491699,15.000000953674316,5.263157844543457,10,9.523809432983398,10,0,0,0,0,14.285715103149414,5,100,0,0,5,0,0,5,10.526315689086914,0,4.761904716491699,217265.63116455078,178730.3770751953,0,404334891008,8589930496,37731106816,12402688
199,1724750112370,810,1309,1401,1747,1003,1314,1302,971,1188,868,848,839,867,1308,1230,1743,1274,916,1368,1552,1753,2019,1485,1200,1236,963,1417,1301,1111,907,1408,1249,0,0,0,0,0,0,0,0,2.5641026496887207,0,0,0,0,0,2.5,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,217265.98498535156,178735.7992553711,0,404334891008,8589930496,37731106816,12402688
199,1724750112570,810,1309,1401,1747,1003,1314,1302,971,1188,868,848,839,867,1308,1230,1743,1274,916,1368,1552,1753,2019,1485,1200,1236,963,1417,1301,1111,907,1408,1249,0,0,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,100,0,9.523809432983398,0,0,0,0,0,0,0,217266.30987548828,178741.20703125,0,404334891008,8589930496,37731106816,12402688
199,1724750112770,810,1309,1401,1747,1003,1314,1302,971,1188,868,848,839,867,1308,1230,1743,1274,916,1368,1552,1753,2019,1485,1200,1236,963,1417,1301,1111,907,1408,1249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,217266.63940429688,178746.62036132813,0,404334891008,8589930496,37731106816,12402688
199,1724750112970,810,1309,1401,1747,1003,1314,1302,971,1188,868,848,839,867,1308,1230,1743,1274,916,1368,1552,1753,2019,1485,1200,1236,963,1417,1301,1111,907,1408,1249,5,0,0,0,0,0,4.761904716491699,0,0,0,0,0,4.761904716491699,9.090909004211426,0,0,0,0,0,0,0,0,100,0,5,0,4.761904716491699,0,0,0,0,0,217266.99267578125,178752.08154296875,0,404334891008,8589930496,37731106816,12402688
