Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_24,CPU_FREQUENCY_25,CPU_FREQUENCY_26,CPU_FREQUENCY_27,CPU_FREQUENCY_28,CPU_FREQUENCY_29,CPU_FREQUENCY_3,CPU_FREQUENCY_30,CPU_FREQUENCY_31,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_24,CPU_USAGE_25,CPU_USAGE_26,CPU_USAGE_27,CPU_USAGE_28,CPU_USAGE_29,CPU_USAGE_3,CPU_USAGE_30,CPU_USAGE_31,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1721787899237,1401,1100,2718,800,1297,800,1400,800,800,999,800,1000,5500,1000,800,800,999,999,1000,927,800,999,999,800,800,800,1400,800,800,800,1100,800,2.6315789222717285,2.5641026496887207,7.894736289978027,7.500000476837158,5.128205299377441,2.6315789222717285,5.128205299377441,2.6315789222717285,2.6315789222717285,7.500000476837158,5.128205299377441,5.128205299377441,5.128205299377441,2.702702760696411,0,5.128205299377441,2.6315789222717285,2.6315789222717285,2.6315789222717285,2.6315789222717285,2.6315789222717285,2.6315789222717285,2.6315789222717285,2.5641026496887207,2.6315789222717285,0,2.6315789222717285,5.128205299377441,2.6315789222717285,2.6315789222717285,2.6315789222717285,5.128205299377441,0,159263.23083496094,129889.50653076172,0,67221303296,8589930496,1932759040,0
199,1721787899237,1401,1100,2718,800,1297,800,1400,800,800,999,800,1000,5500,1000,800,800,999,999,1000,927,800,999,999,800,800,800,1400,800,800,800,1100,800,2.6315789222717285,2.5641026496887207,7.894736289978027,7.500000476837158,5.128205299377441,2.6315789222717285,5.128205299377441,2.6315789222717285,2.6315789222717285,7.500000476837158,5.128205299377441,5.128205299377441,5.128205299377441,2.702702760696411,0,5.128205299377441,2.6315789222717285,2.6315789222717285,2.6315789222717285,2.6315789222717285,2.6315789222717285,2.6315789222717285,2.6315789222717285,2.5641026496887207,2.6315789222717285,0,2.6315789222717285,5.128205299377441,2.6315789222717285,2.6315789222717285,2.6315789222717285,5.128205299377441,0,159263.24072265625,129889.50903320313,0,67221303296,8589930496,1932759040,0
200,1721787899437,1401,1100,2718,800,1297,800,1400,800,800,999,800,1000,5500,1000,800,800,999,999,1000,927,800,999,999,800,800,800,1400,800,800,800,1100,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,159272.1492919922,129897.1865234375,0,67221303296,8589930496,1936629760,0
200,1721787899637,1401,1100,2718,800,1297,800,1400,800,800,999,800,1000,5500,1000,800,800,999,999,1000,927,800,999,999,800,800,800,1400,800,800,800,1100,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,159281.9327392578,129905.73022460938,0,67221303296,8589930496,1936629760,0
200,1721787899837,1401,1100,2718,800,1297,800,1400,800,800,999,800,1000,5500,1000,800,800,999,999,1000,927,800,999,999,800,800,800,1400,800,800,800,1100,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,159291.5167236328,129914.07330322266,0,67221303296,8589930496,1936629760,0
200,1721787900037,1401,1100,2718,800,1297,800,1400,800,800,999,800,1000,5500,1000,800,800,999,999,1000,927,800,999,999,800,800,800,1400,800,800,800,1100,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,159301.275390625,129922.57263183594,0,67221303296,8589930496,1936629760,0
200,1721787900237,1401,1100,2718,800,1297,800,1400,800,800,999,800,1000,5500,1000,800,800,999,999,1000,927,800,999,999,800,800,800,1400,800,800,800,1100,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,159311.00665283203,129931.03234863281,0,67221303296,8589930496,1936629760,0
200,1721787900438,1401,1100,2718,800,1297,800,1400,800,800,999,800,1000,5500,1000,800,800,999,999,1000,927,800,999,999,800,800,800,1400,800,800,800,1100,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,159320.65209960938,129939.41015625,0,67221303296,8589930496,1936629760,0
200,1721787900638,1401,1100,2718,800,1297,800,1400,800,800,999,800,1000,5500,1000,800,800,999,999,1000,927,800,999,999,800,800,800,1400,800,800,800,1100,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,159330.31573486328,129947.79528808594,0,67221303296,8589930496,1936629760,0
200,1721787900838,1401,1100,2718,800,1297,800,1400,800,800,999,800,1000,5500,1000,800,800,999,999,1000,927,800,999,999,800,800,800,1400,800,800,800,1100,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,159340.06665039063,129956.26306152344,0,67221303296,8589930496,1936629760,0
200,1721787901038,1401,1100,2718,800,1297,800,1400,800,800,999,800,1000,5500,1000,800,800,999,999,1000,927,800,999,999,800,800,800,1400,800,800,800,1100,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,159349.7640991211,129964.66442871094,0,67221303296,8589930496,1936629760,0
200,1721787901238,1401,1100,2718,800,1297,800,1400,800,800,999,800,1000,5500,1000,800,800,999,999,1000,927,800,999,999,800,800,800,1400,800,800,800,1100,800,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,159359.56176757813,129973.16540527344,0,67221303296,8589930496,1936629760,0
200,1721787901438,1401,1100,2718,800,1297,800,1400,800,800,999,800,1000,5500,1000,800,800,999,999,1000,927,800,999,999,800,800,800,1400,800,800,800,1100,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,159369.3485107422,129981.66046142578,0,67221303296,8589930496,1936629760,0
200,1721787901638,1401,1100,2718,800,1297,800,1400,800,800,999,800,1000,5500,1000,800,800,999,999,1000,927,800,999,999,800,800,800,1400,800,800,800,1100,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,159379.1068725586,129990.14379882813,0,67221303296,8589930496,1936629760,0
200,1721787901838,1401,1100,2718,800,1297,800,1400,800,800,999,800,1000,5500,1000,800,800,999,999,1000,927,800,999,999,800,800,800,1400,800,800,800,1100,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,159388.83087158203,129998.57720947266,0,67221303296,8589930496,1936629760,0
200,1721787902038,1401,1100,2718,800,1297,800,1400,800,800,999,800,1000,5500,1000,800,800,999,999,1000,927,800,999,999,800,800,800,1400,800,800,800,1100,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,159398.5493774414,130007.0034790039,0,67221303296,8589930496,1936629760,0
200,1721787902238,1401,1100,2718,800,1297,800,1400,800,800,999,800,1000,5500,1000,800,800,999,999,1000,927,800,999,999,800,800,800,1400,800,800,800,1100,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,159408.23651123047,130015.39324951172,0,67221303296,8589930496,1936629760,0
200,1721787902439,1401,1100,2718,800,1297,800,1400,800,800,999,800,1000,5500,1000,800,800,999,999,1000,927,800,999,999,800,800,800,1400,800,800,800,1100,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,159418.02685546875,130023.89263916016,0,67221303296,8589930496,1936629760,0
200,1721787902639,1401,1100,2718,800,1297,800,1400,800,800,999,800,1000,5500,1000,800,800,999,999,1000,927,800,999,999,800,800,800,1400,800,800,800,1100,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,159427.71453857422,130032.28399658203,0,67221303296,8589930496,1936629760,0
200,1721787902839,1401,1100,2718,800,1297,800,1400,800,800,999,800,1000,5500,1000,800,800,999,999,1000,927,800,999,999,800,800,800,1400,800,800,800,1100,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,159437.4385986328,130040.70043945313,0,67221303296,8589930496,1936629760,0
200,1721787903039,1401,1100,2718,800,1297,800,1400,800,800,999,800,1000,5500,1000,800,800,999,999,1000,927,800,999,999,800,800,800,1400,800,800,800,1100,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,159447.17810058594,130049.14038085938,0,67221303296,8589930496,1936629760,0
200,1721787903239,1401,1100,2718,800,1297,800,1400,800,800,999,800,1000,5500,1000,800,800,999,999,1000,927,800,999,999,800,800,800,1400,800,800,800,1100,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,159456.974609375,130057.63415527344,0,67221303296,8589930496,1936883712,0
200,1721787903439,1401,1100,2718,800,1297,800,1400,800,800,999,800,1000,5500,1000,800,800,999,999,1000,927,800,999,999,800,800,800,1400,800,800,800,1100,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,159466.63610839844,130066.00177001953,0,67221303296,8589930496,1936883712,0
200,1721787903639,1401,1100,2718,800,1297,800,1400,800,800,999,800,1000,5500,1000,800,800,999,999,1000,927,800,999,999,800,800,800,1400,800,800,800,1100,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,159476.5591430664,130074.61804199219,0,67221303296,8589930496,1936883712,0
