Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_24,CPU_FREQUENCY_25,CPU_FREQUENCY_26,CPU_FREQUENCY_27,CPU_FREQUENCY_28,CPU_FREQUENCY_29,CPU_FREQUENCY_3,CPU_FREQUENCY_30,CPU_FREQUENCY_31,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_24,CPU_USAGE_25,CPU_USAGE_26,CPU_USAGE_27,CPU_USAGE_28,CPU_USAGE_29,CPU_USAGE_3,CPU_USAGE_30,CPU_USAGE_31,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1724160481943,1368,800,1173,800,1800,800,800,800,800,800,899,915,800,900,899,900,899,800,800,898,900,800,800,800,899,899,1110,800,800,800,1500,800,5,2.5,2.5,0,4.878048419952393,4.878048419952393,5,2.5,4.878048419952393,5,7.500000476837158,2.5,2.5,5,2.5,2.5,2.5,4.878048419952393,4.878048419952393,2.5641026496887207,2.5641026496887207,4.878048419952393,4.878048419952393,2.5,5,4.878048419952393,4.878048419952393,2.5,4.878048419952393,2.5,2.6315789222717285,2.5,0,62880.159606933594,256742.00677490234,0,67221331968,8589930496,1872986112,0
199,1724160481943,1368,800,1173,800,1800,800,800,800,800,800,899,915,800,900,899,900,899,800,800,898,900,800,800,800,899,899,1110,800,800,800,1500,800,5,2.5,2.5,0,4.878048419952393,4.878048419952393,5,2.5,4.878048419952393,5,7.500000476837158,2.5,2.5,5,2.5,2.5,2.5,4.878048419952393,4.878048419952393,2.5641026496887207,2.5641026496887207,4.878048419952393,4.878048419952393,2.5,5,4.878048419952393,4.878048419952393,2.5,4.878048419952393,2.5,2.6315789222717285,2.5,0,62880.167419433594,256742.00872802734,0,67221331968,8589930496,1872986112,0
200,1724160482143,1368,800,1173,800,1800,800,800,800,800,800,899,915,800,900,899,900,899,800,800,898,900,800,800,800,899,899,1110,800,800,800,1500,800,10,10,0,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.42857360839844,0,0,62888.781799316406,256749.32196044922,0,67221331968,8589930496,1964462080,0
200,1724160482343,1368,800,1173,800,1800,800,800,800,800,800,899,915,800,900,899,900,899,800,800,898,900,800,800,800,899,899,1110,800,800,800,1500,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,62897.92987060547,256757.15844726563,0,67221331968,8589930496,1960075264,0
200,1724160482543,1368,800,1173,800,1800,800,800,800,800,800,899,915,800,900,899,900,899,800,800,898,900,800,800,800,899,899,1110,800,800,800,1500,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,62907.16619873047,256765.07720947266,0,67221331968,8589930496,1972461568,0
200,1724160482743,1368,800,1173,800,1800,800,800,800,800,800,899,915,800,900,899,900,899,800,800,898,900,800,800,800,899,899,1110,800,800,800,1500,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,62916.483947753906,256773.06970214844,0,67221331968,8589930496,1972461568,0
200,1724160482943,1368,800,1173,800,1800,800,800,800,800,800,899,915,800,900,899,900,899,800,800,898,900,800,800,800,899,899,1110,800,800,800,1500,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,62925.80139160156,256781.06372070313,0,67221331968,8589930496,1972461568,0
200,1724160483144,1368,800,1173,800,1800,800,800,800,800,800,899,915,800,900,899,900,899,800,800,898,900,800,800,800,899,899,1110,800,800,800,1500,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,62935.13037109375,256789.07208251953,0,67221331968,8589930496,1969983488,0
200,1724160483344,1368,800,1173,800,1800,800,800,800,800,800,899,915,800,900,899,900,899,800,800,898,900,800,800,800,899,899,1110,800,800,800,1500,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,62944.44171142578,256797.06213378906,0,67221331968,8589930496,1961558016,0
199,1724160483544,1368,800,1173,800,1800,800,800,800,800,800,899,915,800,900,899,900,899,800,800,898,900,800,800,800,899,899,1110,800,800,800,1500,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,62953.855529785156,256805.15173339844,0,67221331968,8589930496,1965207552,0
